tick,population,active,withdrawn,dead_cumulative,births,deaths,mean_stress,mean_W,mean_density,max_cell_count,civilization_phase
36,20,19,1,0,0,0,0.0,0.5190478544811032,0.1877142857142857,2,expansion
37,20,19,1,0,0,0,0.0,0.508123216581082,0.18083333333333332,3,expansion
38,20,19,1,0,0,0,0.0,0.5051619510198423,0.1935238095238095,2,expansion
39,20,19,1,0,0,0,0.0,0.5102932390326826,0.19797619047619044,2,expansion
40,20,19,1,0,0,0,0.0,0.5103979257808068,0.18883333333333333,3,expansion
41,20,19,1,0,0,0,0.0,0.5144293533416929,0.19864285714285715,2,expansion
42,20,19,1,0,0,0,0.0,0.5172103809241235,0.2056190476190476,2,expansion
43,20,19,1,0,0,0,0.0,0.5041412598895851,0.18469047619047618,2,expansion
44,20,19,1,0,0,0,0.0,0.5042784789614535,0.18061904761904757,2,expansion
45,20,19,1,0,0,0,0.0,0.50803043716063,0.19257142857142856,2,expansion
46,20,19,1,0,0,0,0.0,0.503749124949774,0.1981428571428571,2,expansion
47,20,19,1,0,0,0,0.0,0.5066699776195521,0.1945238095238095,2,expansion
48,20,19,1,0,0,0,0.0,0.5015811000347028,0.1645238095238095,2,expansion
49,20,19,1,0,0,0,0.0,0.5116689187370718,0.16869047619047614,2,expansion
50,20,19,1,0,0,0,0.0,0.5088972220939808,0.16771428571428568,2,expansion
51,20,19,1,0,0,0,0.0,0.519633477527698,0.1631190476190476,2,expansion
52,20,19,1,0,0,0,0.0,0.5249545867070637,0.2007142857142857,2,expansion
53,20,19,1,0,0,0,0.0,0.515600930604019,0.19047619047619044,2,expansion
54,20,19,1,0,0,0,0.0,0.5119439020382962,0.18957142857142853,2,expansion
55,20,19,1,0,0,0,0.0,0.5081897248788297,0.19038095238095232,2,expansion
56,20,19,1,0,0,0,0.0,0.5073838704835543,0.1753333333333333,2,expansion
57,20,19,1,0,0,0,0.0,0.5108989741982218,0.1807380952380952,2,expansion
